time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-22T21:52:19.130Z,36.0646667,-117.5805,6.31,0.73,ml,12,124,0.07443,0.29,ci,ci37100103,2015-02-24T20:47:43.453Z,"33km ENE of Little Lake, California",earthquake
2015-02-22T21:49:17.690Z,36.0595,-117.589,6,1.6,ml,31,33,0.08103,0.34,ci,ci37100095,2015-02-23T18:30:27.420Z,"32km ENE of Little Lake, California",earthquake
2015-02-22T21:47:04.000Z,61.5733,-141.2524,5.4,1.5,ml,,,,0.38,ak,ak11515795,2015-02-22T23:13:49.532Z,"169km E of Chitina, Alaska",earthquake
2015-02-22T21:43:39.590Z,34.0285,-116.5981667,11.57,0.71,ml,16,152,0.04253,0.1,ci,ci37100087,2015-02-24T22:58:22.221Z,"3km SW of Morongo Valley, California",earthquake
2015-02-22T21:08:02.770Z,36.7526,-116.2434,4.835,0.66,ml,20,56.36,0.035,0.1401,nn,nn00484131,2015-02-23T01:15:28.875Z,"49km ESE of Beatty, Nevada",earthquake
2015-02-22T21:07:29.000Z,60.4978,-151.8319,18.9,2.1,ml,,,,0.88,ak,ak11515793,2015-02-22T22:19:51.536Z,"31km WNW of Kalifornsky, Alaska",earthquake
2015-02-22T21:04:21.240Z,38.2503333,-112.6428333,5.99,0.54,md,5,210,0.312,0.08,uu,uu60102667,2015-02-23T17:04:43.870Z,"2km S of Beaver, Utah",earthquake
2015-02-22T20:50:11.310Z,38.2716667,-112.6386667,4.73,1.9,ml,22,46,0.296,0.17,uu,uu60102652,2015-02-23T17:01:36.560Z,"0km SSE of Beaver, Utah",earthquake
2015-02-22T20:48:23.000Z,59.9182,-152.7524,84.9,1.8,ml,,,,0.17,ak,ak11515729,2015-02-22T21:28:22.233Z,"53km WNW of Anchor Point, Alaska",earthquake
2015-02-22T20:39:11.130Z,38.2636667,-112.6291667,6.67,2.52,ml,26,45,0.306,0.2,uu,uu60102647,2015-02-23T16:20:42.483Z,"1km SE of Beaver, Utah",earthquake
2015-02-22T20:23:44.000Z,63.5937,-149.7037,113.5,1.5,ml,,,,0.46,ak,ak11515724,2015-02-22T21:28:21.620Z,"43km WNW of Cantwell, Alaska",earthquake
2015-02-22T20:21:55.230Z,38.8151665,-122.8286667,2.55,0.43,md,9,97,0.02399,0.04,nc,nc72399910,2015-02-22T21:07:05.299Z,"7km NW of The Geysers, California",earthquake
2015-02-22T20:08:36.280Z,34.6311667,-116.5291667,8.87,2.02,ml,32,48,0.07952,0.12,ci,ci37100055,2015-02-24T20:43:40.400Z,"35km WSW of Ludlow, California",earthquake
2015-02-22T20:07:08.280Z,36.9588333,-121.345,4.64,0.65,md,17,73,0.05244,0.03,nc,nc72399890,2015-02-24T05:36:02.904Z,"12km NNE of Hollister, California",earthquake
2015-02-22T19:55:13.000Z,62.5859,-151.0873,0,1.6,ml,,,,0.42,ak,ak11515656,2015-02-22T20:30:59.977Z,"58km WNW of Talkeetna, Alaska",earthquake
2015-02-22T19:53:04.940Z,38.8284988,-122.8460007,2.29,0.97,md,13,108,0.008545,0.01,nc,nc72399885,2015-02-22T22:08:04.421Z,"9km NW of The Geysers, California",earthquake
2015-02-22T19:51:49.000Z,63.5083,-151.9778,3.4,1.4,ml,,,,0.88,ak,ak11515952,2015-02-23T07:52:39.079Z,"151km W of Cantwell, Alaska",earthquake
2015-02-22T19:51:28.000Z,63.5031,-152.0367,1.1,1.1,ml,,,,0.53,ak,ak11515653,2015-02-23T07:52:39.657Z,"154km W of Cantwell, Alaska",earthquake
2015-02-22T19:50:16.900Z,20.0068,-155.3898,12.9,2.2,Md,,201.6,0.12576414,0.15,hv,hv60857356,2015-02-23T22:22:11.969Z,"12km SE of Honoka'a, Hawaii",earthquake
2015-02-22T19:48:35.000Z,61.8314,-148.5186,22.4,1,ml,,,,0.5,ak,ak11515652,2015-02-23T07:52:41.660Z,"17km ENE of Sutton-Alpine, Alaska",earthquake
2015-02-22T19:46:20.920Z,38.791832,-122.7623367,2.03,0.89,md,12,76,0.02004,0.02,nc,nc72399880,2015-02-22T20:25:03.840Z,"1km NNW of The Geysers, California",earthquake
2015-02-22T19:43:32.650Z,39.76,143.2872,10,5.1,mb,,87,2.246,0.6,us,usc000tsbm,2015-02-23T03:46:13.593Z,"115km E of Miyako, Japan",earthquake
2015-02-22T19:42:17.730Z,33.2075,-115.6933333,2.61,1.57,ml,12,97,0.06412,0.22,ci,ci37100047,2015-02-23T18:20:58.227Z,"16km SSE of Bombay Beach, California",earthquake
2015-02-22T19:38:24.330Z,33.5991667,-116.8158333,10.6,0.3,ml,16,91,0.04071,0.23,ci,ci37100039,2015-02-22T20:15:05.829Z,"14km WNW of Anza, California",earthquake
2015-02-22T19:34:20.020Z,38.841835,-122.8286667,2.65,0.56,md,11,68,0.006235,0.02,nc,nc72399870,2015-02-22T20:04:05.776Z,"9km WNW of Cobb, California",earthquake
2015-02-22T19:29:38.200Z,38.8111649,-122.8095016,6.04,0.45,md,8,87,0.01154,0.06,nc,nc72399865,2015-02-22T20:48:02.312Z,"5km NW of The Geysers, California",earthquake
2015-02-22T19:26:04.000Z,59.904,-153.1168,105.4,3.2,ml,,,,0.75,ak,ak11515644,2015-02-23T03:28:48.204Z,"68km SSW of Redoubt Volcano, Alaska",earthquake
2015-02-22T19:22:53.310Z,37.6321667,-118.9805,6.66,0.16,md,10,119,0.0223,0.07,nc,nc72399855,2015-02-24T00:59:02.811Z,"1km SSW of Mammoth Lakes, California",earthquake
2015-02-22T19:09:08.940Z,38.8113327,-122.7896652,3.8,0.53,md,8,81,0.00554,0.01,nc,nc72399850,2015-02-22T22:36:03.339Z,"4km NW of The Geysers, California",earthquake
2015-02-22T19:07:49.620Z,38.8053322,-122.8078308,1.17,0.53,md,9,191,0.01014,0.26,nc,nc72399845,2015-02-22T22:09:03.038Z,"5km NW of The Geysers, California",earthquake
2015-02-22T18:50:30.010Z,37.6158333,-118.9768333,7.3,0.24,md,16,113,0.01362,0.03,nc,nc72399840,2015-02-23T23:32:05.517Z,"3km S of Mammoth Lakes, California",earthquake
2015-02-22T18:26:52.280Z,-24.2287,-67.0417,167.07,5,mb,,66,2.352,1.23,us,usc000tsbd,2015-02-24T16:55:36.000Z,"73km W of San Antonio de los Cobres, Argentina",earthquake
2015-02-22T18:24:14.000Z,61.5877,-151.6154,4.1,3.3,ml,,,,0.45,ak,ak11515635,2015-02-23T07:53:08.686Z,"85km WSW of Willow, Alaska",earthquake
2015-02-22T18:07:06.790Z,37.6131668,-118.9773331,7.77,1.18,md,12,175,0.0145,0.02,nc,nc72399835,2015-02-22T22:09:02.843Z,"3km S of Mammoth Lakes, California",earthquake
2015-02-22T18:06:56.750Z,37.612999,-118.9778366,6.98,1.36,md,13,176,0.018,0.02,nc,nc72399830,2015-02-22T21:16:02.100Z,"3km S of Mammoth Lakes, California",earthquake
2015-02-22T17:54:25.990Z,38.8185005,-122.7630005,2.55,1.09,md,18,55,0.01312,0.03,nc,nc72399820,2015-02-22T20:48:03.603Z,"3km W of Cobb, California",earthquake
2015-02-22T17:39:34.650Z,35.7166667,-118.081,0.51,1,ml,22,72,0.1331,0.21,ci,ci37099983,2015-02-22T20:15:24.481Z,"26km WNW of Inyokern, California",earthquake
2015-02-22T17:38:55.000Z,62.5921,-152.9482,0.5,2,ml,,,,0.81,ak,ak11515572,2015-02-22T18:45:02.854Z,"141km ESE of McGrath, Alaska",earthquake
2015-02-22T17:35:02.720Z,38.8251648,-122.8450012,2.16,0.43,md,7,143,0.008053,0.02,nc,nc72399805,2015-02-22T17:49:03.768Z,"9km NW of The Geysers, California",earthquake
2015-02-22T17:25:40.380Z,34.0586667,-117.2521667,16.57,0.97,ml,24,80,0.1183,0.32,ci,ci37099975,2015-02-22T17:30:57.717Z,"1km NE of Loma Linda, California",earthquake
2015-02-22T17:25:09.960Z,34.0558333,-117.2505,15.56,1.01,ml,32,41,0.1164,0.31,ci,ci37099967,2015-02-22T17:31:15.748Z,"1km NE of Loma Linda, California",earthquake
2015-02-22T17:21:46.390Z,44.8086667,-111.007,5.11,1.4,ml,15,171,0.049,0.15,uu,uu60102632,2015-02-23T15:43:34.100Z,"18km NNE of West Yellowstone, Montana",earthquake
2015-02-22T17:20:53.000Z,59.747,-152.5918,67.3,1.8,ml,,,,0.89,ak,ak11515570,2015-02-22T18:45:02.205Z,"42km W of Anchor Point, Alaska",earthquake
2015-02-22T17:11:42.830Z,33.6828333,-116.7456667,17.21,0.31,ml,14,129,0.03858,0.05,ci,ci37099943,2015-02-24T20:40:39.277Z,"7km SSW of Idyllwild, California",earthquake
2015-02-22T17:11:07.350Z,36.0645,-117.586,1.1,0.91,ml,16,121,0.07886,0.31,ci,ci37099935,2015-02-22T17:31:32.991Z,"32km ENE of Little Lake, California",earthquake
2015-02-22T17:10:54.430Z,20.0022,-45.7212,10,4.8,mb,,103,37.582,1.03,us,usc000tsb1,2015-02-23T01:13:20.184Z,"Northern Mid-Atlantic Ridge",earthquake
2015-02-22T16:58:00.950Z,47.4908333,-122.9095,19.67,0.14,md,5,235,0.09306,0.12,uw,uw60973661,2015-02-22T21:54:13.780Z,"7km NW of Belfair, Washington",earthquake
2015-02-22T16:57:49.600Z,36.5675011,-121.0861664,9.29,1.35,md,9,99,0.03908,0.04,nc,nc72399790,2015-02-22T19:53:02.336Z,"26km NE of Soledad, California",earthquake
2015-02-22T16:56:53.130Z,37.4933333,-119.3493333,10.94,1.18,md,8,107,0.1788,0.23,nc,nc72399795,2015-02-24T03:02:07.044Z,"32km NE of Oakhurst, California",earthquake
2015-02-22T16:51:13.100Z,38.8186684,-122.793663,0.02,0.96,md,6,103,0.01076,0.05,nc,nc72399780,2015-02-22T17:11:10.547Z,"5km NW of The Geysers, California",earthquake
2015-02-22T16:46:44.200Z,19.4057,-155.2808,1.8,1.8,Ml,,54,0.00898315,0.15,hv,hv60857306,2015-02-22T16:52:30.350Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-22T16:32:57.780Z,38.7911682,-122.7476654,1.9,1.15,md,15,50,0.01165,0.03,nc,nc72399770,2015-02-22T19:29:02.267Z,"1km NNE of The Geysers, California",earthquake
2015-02-22T16:15:58.140Z,38.8136673,-122.7968369,2.96,0.87,md,13,69,0.005816,0.02,nc,nc72399760,2015-02-22T16:38:06.852Z,"5km NW of The Geysers, California",earthquake
2015-02-22T16:14:27.000Z,61.1823,-152.6287,57.7,1.4,ml,,,,0.97,ak,ak11515511,2015-02-23T00:16:32.365Z,"77km N of Redoubt Volcano, Alaska",earthquake
2015-02-22T16:13:12.580Z,38.8375015,-122.8274994,2.57,0.43,md,7,97,0.006332,0.01,nc,nc72399755,2015-02-22T16:28:05.341Z,"9km W of Cobb, California",earthquake
2015-02-22T16:12:30.750Z,32.783,-115.535,14.99,2.32,ml,32,52,0.07756,0.41,ci,ci37099927,2015-02-24T20:38:28.760Z,"2km ESE of El Centro, California",earthquake
2015-02-22T16:07:58.020Z,35.6813333,-118.4008333,2.88,1.18,ml,20,58,0.0422,0.35,ci,ci37099919,2015-02-22T17:32:23.323Z,"6km ESE of Wofford Heights, California",earthquake
2015-02-22T15:51:28.870Z,36.0241667,-117.81,0.59,1.08,ml,11,109,0.03628,0.23,ci,ci37099903,2015-02-22T17:32:40.955Z,"13km E of Coso Junction, California",earthquake
2015-02-22T15:40:09.680Z,46.2068333,-122.3973333,10.14,-0.11,md,9,199,0.03356,0.08,uw,uw60973641,2015-02-22T21:51:06.350Z,"33km N of Amboy, Washington",earthquake
2015-02-22T15:35:19.660Z,38.7815018,-122.7191696,11.08,1.3,md,9,158,0.008361,0.14,nc,nc72399750,2015-02-22T19:07:02.784Z,"3km E of The Geysers, California",earthquake
2015-02-22T15:33:58.500Z,34.5748333,-116.2555,2.84,1.25,ml,15,60,0.1378,0.1,ci,ci37099895,2015-02-24T20:28:48.308Z,"18km SSW of Ludlow, California",earthquake
2015-02-22T15:21:53.670Z,38.8151665,-122.8059998,1.41,1.74,md,30,37,0.008811,0.05,nc,nc72399745,2015-02-22T19:07:02.643Z,"6km NW of The Geysers, California",earthquake
2015-02-22T15:19:46.049Z,38.1077,-114.5887,0,1.61,ml,7,85.21,0.716,0.5647,nn,nn00484086,2015-02-22T17:07:06.931Z,"23km NNW of Pioche, Nevada",earthquake
2015-02-22T15:15:36.550Z,38.8035011,-122.7610016,4.88,1.38,md,26,53,0.01821,0.08,nc,nc72399740,2015-02-22T18:43:03.632Z,"2km N of The Geysers, California",earthquake
2015-02-22T15:04:52.000Z,61.3408,-145.7889,34.4,1.6,ml,,,,1.06,ak,ak11515455,2015-02-22T15:54:59.738Z,"38km NE of Valdez, Alaska",earthquake
2015-02-22T15:00:52.950Z,37.6475,-118.9311667,7.62,0.7,md,18,75,0.02147,0.03,nc,nc72399735,2015-02-24T20:01:05.943Z,"3km E of Mammoth Lakes, California",earthquake
2015-02-22T14:45:00.190Z,38.8163338,-122.8241653,2.66,1.98,md,36,45,0.008421,0.04,nc,nc72399730,2015-02-22T18:16:01.760Z,"7km NW of The Geysers, California",earthquake
2015-02-22T14:36:21.140Z,18.6478,-106.9096,10,4.5,mb,,184,5.462,0.83,us,usc000tsam,2015-02-22T22:38:47.485Z,"225km SW of Tomatlan, Mexico",earthquake
2015-02-22T14:23:13.460Z,18.6697,-106.8437,10,6.2,mwb,,70,5.397,0.66,us,usc000tsak,2015-02-23T19:12:05.000Z,"218km SW of Tomatlan, Mexico",earthquake
2015-02-22T14:15:16.300Z,37.6383333,-118.9336667,8.11,0.85,md,20,75,0.02733,0.03,nc,nc72399710,2015-02-24T19:32:04.510Z,"3km ESE of Mammoth Lakes, California",earthquake
2015-02-22T14:13:22.250Z,37.604332,-122.3286667,8.57,1.91,md,35,53,0.01653,0.08,nc,nc72399705,2015-02-22T16:27:09.781Z,"3km NE of Burlingame, California",earthquake
2015-02-22T14:11:44.300Z,19.2217,-68.3964,129,3.4,Md,8,342,1.42921962,0.18,pr,pr15053001,2015-02-22T22:14:27.797Z,"69km NNE of Otra Banda, Dominican Republic",earthquake
2015-02-22T14:07:55.620Z,34.0366667,-117.246,18.72,1.25,ml,46,61,0.09218,0.26,ci,ci37099871,2015-02-22T17:36:46.670Z,"2km SE of Loma Linda, California",earthquake
2015-02-22T14:03:40.900Z,19.3612,-155.2887,2.9,2.1,Ml,,61.2,0.02694946,0.1,hv,hv60857226,2015-02-23T19:03:10.209Z,"9km SW of Volcano, Hawaii",earthquake
2015-02-22T14:03:39.620Z,38.8073349,-122.7941666,0.94,0.51,md,8,108,0.00109,0.02,nc,nc72399700,2015-02-22T14:20:04.031Z,"4km NW of The Geysers, California",earthquake
2015-02-22T14:03:15.700Z,19.3635,-155.2912,2.7,0.5,Md,,126,0.02694946,0.03,hv,hv60857221,2015-02-23T19:11:50.268Z,"9km SW of Volcano, Hawaii",earthquake
2015-02-22T13:37:24.700Z,19.4263,-154.7948,1.6,1.5,Md,,284.4,0.11678099,0.29,hv,hv60857211,2015-02-23T22:51:23.059Z,"13km ESE of Leilani Estates, Hawaii",earthquake
2015-02-22T13:33:53.800Z,33.4736667,-116.5673333,9.89,0.44,ml,25,106,0.0359,0.22,ci,ci37099863,2015-02-22T17:34:17.929Z,"13km SE of Anza, California",earthquake
2015-02-22T13:23:26.000Z,61.3394,-146.7476,34.4,1.9,ml,,,,0.85,ak,ak11515389,2015-02-22T14:08:21.026Z,"31km NW of Valdez, Alaska",earthquake
2015-02-22T13:18:08.000Z,59.5865,-153.3919,109.6,3.1,ml,,,,0.65,ak,ak11515377,2015-02-22T21:20:37.850Z,"87km ESE of Old Iliamna, Alaska",earthquake
2015-02-22T13:15:40.420Z,37.5178333,-118.8476667,3.76,0.31,md,8,320,0.07356,0.03,nc,nc72399695,2015-02-23T22:43:05.643Z,"18km SE of Mammoth Lakes, California",earthquake
2015-02-22T13:07:16.160Z,33.4653333,-116.3795,9.45,0.96,ml,32,71,0.1564,0.26,ci,ci37099847,2015-02-22T17:36:53.150Z,"23km SSW of La Quinta, California",earthquake
2015-02-22T13:02:16.340Z,-18.006,-178.3189,594.81,5.1,mb,,23,3.465,0.72,us,usc000tsa8,2015-02-22T21:04:45.157Z,"295km N of Ndoi Island, Fiji",earthquake
2015-02-22T13:01:27.562Z,41.9098,-119.5629,3.826,3.39,ml,6,124.12,0.176,0.0588,nn,nn00484076,2015-02-22T21:46:05.400Z,"71km ESE of Lakeview, Oregon",earthquake
2015-02-22T12:56:24.940Z,2.6679,-76.4939,151.43,5.6,mb,,47,3.062,1.1,us,usc000tsa5,2015-02-23T19:47:16.000Z,"9km ENE of Cajibio, Colombia",earthquake
2015-02-22T12:50:01.320Z,44.6485,-110.7253333,7.08,0.19,md,5,176,0.075,0.02,uu,uu60102607,2015-02-23T22:18:14.530Z,"22km NNE of Old Faithful Geyser, Wyoming",earthquake
2015-02-22T12:49:12.230Z,46.2,-122.1603333,6.28,0.29,md,8,166,0.02461,0.15,uw,uw60973611,2015-02-22T21:37:40.900Z,"39km NE of Amboy, Washington",earthquake
2015-02-22T12:35:06.590Z,38.8129997,-122.8238297,2.68,1.38,md,26,46,0.005872,0.04,nc,nc72399665,2015-02-22T15:36:04.629Z,"7km NW of The Geysers, California",earthquake
2015-02-22T12:33:17.600Z,38.7955017,-122.7365036,2.25,0.97,md,6,141,0.01225,0.03,nc,nc72399660,2015-02-22T12:48:04.546Z,"2km NE of The Geysers, California",earthquake
2015-02-22T12:31:41.550Z,33.9788333,-116.8136667,20.62,0.61,ml,18,108,0.05639,0.15,ci,ci37235765,2015-02-24T20:24:49.110Z,"7km NNW of Cabazon, California",earthquake
2015-02-22T12:31:25.370Z,33.6693333,-116.721,16.99,0.35,ml,17,81,0.03937,0.12,ci,ci37099839,2015-02-24T20:19:29.656Z,"8km S of Idyllwild, California",earthquake
2015-02-22T12:11:36.230Z,46.8373333,-121.6765,3.08,0,md,9,180,0.03179,0.07,uw,uw60973601,2015-02-22T22:03:39.560Z,"25km N of Packwood, Washington",earthquake
2015-02-22T11:59:46.410Z,36.0568333,-117.5905,0.06,0.96,ml,19,103,0.08225,0.26,ci,ci37099831,2015-02-22T17:36:58.430Z,"31km ENE of Little Lake, California",earthquake
2015-02-22T11:56:52.000Z,60.2438,-150.9613,68.7,2.1,ml,,,,0.77,ak,ak11515305,2015-02-22T13:11:05.685Z,"23km SE of Cohoe, Alaska",earthquake
2015-02-22T11:56:00.100Z,37.6128333,-118.976,7.16,0.76,md,21,94,0.01359,0.05,nc,nc72399655,2015-02-24T20:01:05.870Z,"3km S of Mammoth Lakes, California",earthquake
2015-02-22T11:55:15.640Z,33.5981667,-116.8258333,9.99,0.53,ml,26,56,0.03666,0.25,ci,ci37099823,2015-02-22T17:38:04.060Z,"15km WNW of Anza, California",earthquake
2015-02-22T11:54:14.900Z,37.612,-118.9756667,7.14,1.36,md,23,94,0.01363,0.05,nc,nc72399650,2015-02-23T20:09:03.934Z,"4km S of Mammoth Lakes, California",earthquake
2015-02-22T11:51:00.980Z,37.6146667,-118.9775,6.57,0.54,md,16,114,0.0143,0.05,nc,nc72399645,2015-02-23T16:56:32.640Z,"3km S of Mammoth Lakes, California",earthquake
2015-02-22T11:49:40.000Z,60.5126,-150.9384,3.3,2.5,ml,,,,1.04,ak,ak11515300,2015-02-22T19:52:15.696Z,"7km ENE of Soldotna, Alaska",earthquake
2015-02-22T11:48:25.010Z,-29.1163,-3.9182,10,5.1,mb,,75,13.204,0.91,us,usc000tsa0,2015-02-22T19:50:57.291Z,"South Atlantic Ocean",earthquake
2015-02-22T11:44:39.130Z,37.5688324,-121.979332,0.05,1.89,md,20,75,0.126,0.14,nc,nc72399640,2015-02-22T14:42:04.671Z,"2km NNE of Fremont, California",earthquake
2015-02-22T11:40:30.890Z,33.9838333,-116.4416667,7.21,0.79,ml,18,51,0.051,0.18,ci,ci37099815,2015-02-22T17:35:28.302Z,"6km ENE of Desert Hot Springs, California",earthquake
2015-02-22T11:34:28.190Z,35.6528333,-121.058,8.82,2.27,md,78,78,0.05989,0.07,nc,nc72399630,2015-02-23T23:06:03.266Z,"10km NNE of Cambria, California",earthquake
2015-02-22T11:33:29.620Z,36.0513333,-117.5938333,3.95,-0.19,ml,5,133,0.0852,0.08,ci,ci37235757,2015-02-24T20:02:43.745Z,"31km ENE of Little Lake, California",earthquake
2015-02-22T11:33:16.220Z,36.0216667,-117.8833333,4.38,0.59,ml,12,82,0.01503,0.14,ci,ci37099799,2015-02-24T20:02:26.000Z,"6km ESE of Coso Junction, California",earthquake
2015-02-22T11:30:28.660Z,38.8226662,-122.7614975,2.3,0.77,md,12,72,0.0102,0.03,nc,nc72399625,2015-02-22T12:08:07.216Z,"3km W of Cobb, California",earthquake
2015-02-22T11:25:02.000Z,63.5309,-147.6326,9.4,1.5,ml,,,,0.58,ak,ak11515298,2015-02-22T12:19:38.627Z,"67km ENE of Cantwell, Alaska",earthquake
2015-02-22T11:18:56.130Z,36.0316667,-117.8833333,3.27,0.96,ml,19,85,0.02455,0.27,ci,ci37099791,2015-02-22T17:35:32.119Z,"6km ESE of Coso Junction, California",earthquake
2015-02-22T11:15:11.920Z,36.0201667,-117.8808333,4.71,-0.08,ml,11,81,0.01463,0.14,ci,ci37099783,2015-02-24T19:56:23.010Z,"7km ESE of Coso Junction, California",earthquake
2015-02-22T11:08:05.810Z,38.8181648,-122.7821655,2.3,0.87,md,15,54,0.005033,0.03,nc,nc72399615,2015-02-22T11:48:09.678Z,"5km W of Cobb, California",earthquake
2015-02-22T11:01:17.100Z,35.8056679,-120.3508301,8.65,1.33,md,9,194,0.02668,0.03,nc,nc72399605,2015-02-22T13:59:02.679Z,"16km N of Shandon, California",earthquake
2015-02-22T10:59:56.840Z,41.9277,-119.5923,5.575,1.21,ml,3,213.39,0.151,0.0398,nn,nn00484067,2015-02-22T11:19:36.604Z,"68km ESE of Lakeview, Oregon",earthquake
2015-02-22T10:58:23.000Z,62.4922,-149.3805,50.3,1.6,ml,,,,0.32,ak,ak11515276,2015-02-22T12:19:34.404Z,"42km ENE of Talkeetna, Alaska",earthquake
2015-02-22T10:57:02.189Z,39.0682,-119.0676,6.8675,1.43,ml,11,156.67,0.158,0.1023,nn,nn00484065,2015-02-22T11:16:22.292Z,"12km NE of Yerington, Nevada",earthquake
2015-02-22T10:39:12.770Z,38.8106651,-122.7399979,3.38,0.81,md,14,62,0.008967,0.02,nc,nc72399595,2015-02-22T11:07:05.485Z,"1km SW of Cobb, California",earthquake
2015-02-22T10:38:26.120Z,38.8105011,-122.821167,2.65,1.33,md,25,56,0.006468,0.04,nc,nc72399590,2015-02-22T13:41:02.409Z,"6km WNW of The Geysers, California",earthquake
2015-02-22T10:35:47.700Z,36.058,-117.6003333,2.15,0.41,ml,11,102,0.0902,0.18,ci,ci37099775,2015-02-22T17:35:52.101Z,"31km ENE of Little Lake, California",earthquake
2015-02-22T10:31:50.410Z,34.294,-119.7965,0,2.2,ml,41,62,0.1247,0.4,ci,ci37099767,2015-02-24T19:54:21.734Z,"14km SSE of Isla Vista, California",earthquake
2015-02-22T10:31:44.430Z,36.7941667,-112.8131667,22.48,0.77,md,7,173,0.222,0.12,uu,uu60102597,2015-02-23T22:15:37.850Z,"26km SSE of Colorado City, Arizona",earthquake
2015-02-22T10:31:39.000Z,63.4979,-148.8093,0,2.4,ml,,,,1.15,ak,ak11515270,2015-02-22T11:20:55.625Z,"13km NNE of Cantwell, Alaska",earthquake
2015-02-22T10:31:21.661Z,39.7666,-120.5997,3.0214,0.22,ml,4,185.62,0.21,0.083,nn,nn00484069,2015-02-22T11:12:51.054Z,"12km WSW of Portola, California",earthquake
2015-02-22T10:29:17.000Z,38.8336678,-122.8030014,2.19,0.84,md,18,102,0.01096,0.02,nc,nc72399580,2015-02-22T13:08:04.758Z,"7km W of Cobb, California",earthquake
2015-02-22T10:11:17.330Z,46.7498333,-121.5938333,8.44,0.86,md,13,106,0.06429,0.1,uw,uw60973591,2015-02-22T22:06:47.100Z,"16km NNE of Packwood, Washington",earthquake
2015-02-22T09:59:13.682Z,40.0903,-119.6598,11.9033,0.25,ml,4,132.68,0.097,0.0585,nn,nn00484068,2015-02-22T11:12:45.405Z,"49km N of Spanish Springs, Nevada",earthquake
2015-02-22T09:46:08.470Z,36.0181667,-117.8835,4.7,0.18,ml,9,144,0.01181,0.13,ci,ci37099759,2015-02-24T19:49:42.950Z,"6km ESE of Coso Junction, California",earthquake
2015-02-22T09:44:33.610Z,37.6465,-118.932,7.91,1.15,md,22,72,0.02244,0.03,nc,nc72399560,2015-02-23T20:44:02.693Z,"3km E of Mammoth Lakes, California",earthquake
2015-02-22T09:42:58.150Z,33.3295,-116.2325,8.96,0.99,ml,31,101,0.1663,0.22,ci,ci37099751,2015-02-22T17:35:55.368Z,"16km ENE of Borrego Springs, California",earthquake
2015-02-22T09:38:33.640Z,36.0201667,-117.8823333,4.08,0.96,ml,15,81,0.01402,0.14,ci,ci37099743,2015-02-24T19:47:47.860Z,"6km ESE of Coso Junction, California",earthquake
2015-02-22T09:27:12.000Z,61.4651,-150.6498,49.5,2.2,ml,,,,0.62,ak,ak11515248,2015-02-22T10:25:42.822Z,"37km W of Big Lake, Alaska",earthquake
2015-02-22T09:03:56.560Z,33.7146667,-116.8123333,17.92,1.12,ml,14,165,0.0819,0.12,ci,ci37099735,2015-02-22T17:36:27.852Z,"8km ESE of Valle Vista, California",earthquake
2015-02-22T09:03:43.440Z,38.8373337,-122.7721634,2.63,0.49,md,8,151,0.006214,0.01,nc,nc72399550,2015-02-22T11:49:02.707Z,"4km WNW of Cobb, California",earthquake
2015-02-22T09:02:57.520Z,38.7921677,-122.7491684,2.03,1.21,md,17,109,0.01319,0.02,nc,nc72399540,2015-02-22T11:35:02.414Z,"1km NNE of The Geysers, California",earthquake
2015-02-22T08:51:10.800Z,38.8100014,-122.8116684,3.27,0.88,md,18,104,0.01295,0.03,nc,nc72399535,2015-02-22T11:23:02.404Z,"6km NW of The Geysers, California",earthquake
2015-02-22T08:46:18.770Z,36.0565,-117.5895,1.1,0.69,ml,14,104,0.08144,0.22,ci,ci37099727,2015-02-22T17:36:45.612Z,"32km ENE of Little Lake, California",earthquake
2015-02-22T08:32:26.000Z,60.5045,-151.916,69.6,1.8,ml,,,,0.15,ak,ak11515247,2015-02-22T09:34:33.697Z,"35km WNW of Kalifornsky, Alaska",earthquake
2015-02-22T08:28:59.470Z,33.1955,-116.7273333,9.99,1,ml,16,55,0.02871,0.17,ci,ci37099719,2015-02-22T17:36:48.472Z,"6km SSE of Lake Henshaw, California",earthquake
2015-02-22T08:26:13.836Z,41.818,-119.6094,4.6803,2.09,ml,4,230.33,0.195,0.1103,nn,nn00484073,2015-02-23T00:55:54.056Z,"73km SE of Lakeview, Oregon",earthquake
2015-02-22T08:20:34.730Z,37.0621,-104.947,2.87,3.6,ml,,86,0.812,0.82,us,usc000ts9d,2015-02-22T18:28:52.647Z,"41km WSW of Trinidad, Colorado",earthquake
2015-02-22T08:15:19.000Z,65.8457,-151.0907,7.3,2.7,ml,,,,0.68,ak,ak11515225,2015-02-22T16:17:53.133Z,"87km NNE of Tanana, Alaska",earthquake
2015-02-22T08:07:25.850Z,38.2423333,-112.6286667,5.92,0.73,md,7,169,0.324,0.06,uu,uu60102582,2015-02-23T22:12:30.570Z,"3km SSE of Beaver, Utah",earthquake
2015-02-22T07:42:59.890Z,36.5475,-121.0585,8.94,0.83,md,10,176,0.03448,0.04,nc,nc72399520,2015-02-24T03:44:02.253Z,"27km ENE of Soledad, California",earthquake
